timestamp,level,message,event_type,email,event_timestamp,additional_info
2025-06-13 05:55:25,INFO,Public Key Detail,,,,"key_length=176;has_key=true;raw_key=-----BEGIN PUBLIC KEY-----
MFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEXQV0ollYWiaBnpXc5iT5b0SgYz6jwYz0PzK9rri7Sd8Mwsvex5VQIk5yQnE0oDK2sDUU7z0NbTU96IVUSnJCKA==
-----END PUBLIC KEY-----"
2025-06-13 05:55:25,INFO,Server starting,,,,port=:8080
2025-06-13 05:55:47,INFO,Signature Verification Headers,,,1749768950,signature=MEUCIFEcS6c3ze3tmhLlGErF0aC+PebzBXlYRL9EDJRPRXDqAiEAlPy3x29cYzL0c9ss7sF91Db8oTDI5eg9fV6zTZe/lbw=
2025-06-13 05:55:47,INFO,Starting signature verification,,,,public_key_configured=true
2025-06-13 05:55:47,INFO,Signature verification successful,,,,signature_valid=true
2025-06-13 05:55:47,INFO,SendGrid Event,delivered,example@test.com,2025-06-13 05:55:50,
2025-06-13 05:55:47,INFO,SendGrid Event,open,example@test.com,2025-06-13 05:55:50,
2025-06-13 05:55:47,INFO,SendGrid Event,click,example@test.com,2025-06-13 05:55:50,
2025-06-13 05:55:47,INFO,SendGrid Event,bounce,example@test.com,2025-06-13 05:55:50,
2025-06-13 05:55:48,INFO,Notification sent,bounce,example@test.com,,
